trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
"4686.T5.1-Ech-C-mjp-1.1.H","15:15:00","15:15:00","20043","1","","0","0","0"
"4686.T5.1-Ech-C-mjp-1.1.H","15:22:00","15:22:00","22240","3","","0","1","5509.68997266952"
"4686.T5.1-Ech-C-mjp-1.1.H","15:53:00","15:53:00","19998","7","","0","0","38255.2256756851"
"4686.T5.1-Ech-C-mjp-1.1.H","16:00:00","16:00:00","20303","8","","0","0","50392.4890783306"
"4686.T5.1-Ech-C-mjp-1.1.H","16:05:00","16:05:00","20337","9","","0","0","56888.7920880905"
"4686.T5.1-Ech-C-mjp-1.1.H","16:11:00","16:11:00","20315","10","","0","0","64226.4734010404"
"4686.T5.1-Ech-C-mjp-1.1.H","16:15:00","16:15:00","20325","11","","0","0","69780.3122955915"
"4686.T5.1-Ech-C-mjp-1.1.H","16:21:00","16:21:00","20361","12","","0","0","78626.3930343735"
"4686.T5.1-Ech-C-mjp-1.1.H","16:28:00","16:28:00","20320","13","","0","0","92043.583672977"
"4686.T5.1-Ech-C-mjp-1.1.H","16:34:00","16:34:00","20326","14","","0","0","102673.791079572"
"4686.T5.1-Ech-C-mjp-1.1.H","16:47:00","16:47:00","20301","15","","0","0","125885.37527058"
"4686.T5.1-Ech-C-mjp-1.1.H","17:03:00","17:03:00","20317","16","","0","0","158018.979330968"
"4686.T5.1-Ech-C-mjp-1.1.H","17:10:00","17:20:00","20296","17","","0","0","162849.698918218"
"4686.T5.1-Ech-C-mjp-1.1.H","17:29:00","17:29:00","47642","18","","0","0","170456.968854861"
"4686.T5.1-Ech-C-mjp-1.1.H","17:59:00","17:59:00","20311","19","","0","0","207308.740651665"
"4686.T5.1-Ech-C-mjp-1.1.H","18:13:00","18:13:00","20338","20","","0","0","224152.503849916"
"4686.T5.1-Ech-C-mjp-1.1.H","18:38:00","18:38:00","20310","21","","0","0","250698.868218801"
"4804.T5.1-Ech-C-mjp-1.2.R","07:16:00","07:16:00","20310","1","","0","0","0"
"4804.T5.1-Ech-C-mjp-1.2.R","07:39:00","07:39:00","20338","2","","0","0","26546.3643688849"
