route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"1-Ech-D-mjp-1","T0","5380.T0.1-Ech-D-mjp-1.1.H","1-Ech-D-mjp-1.1.H","Echuca/Moama","0"
"1-Ech-D-mjp-1","T0","5624.T0.1-Ech-D-mjp-1.2.R","1-Ech-D-mjp-1.2.R","Melbourne","1"
"1-Sht-D-mjp-1","T0","5324.T0.1-Sht-D-mjp-1.1.H","1-Sht-D-mjp-1.1.H","Melbourne","0"
"1-Sht-D-mjp-1","T0","5325.T0.1-Sht-D-mjp-1.2.H","1-Sht-D-mjp-1.2.H","Melbourne","0"
"1-Sht-D-mjp-1","T0","5326.T0.1-Sht-D-mjp-1.3.H","1-Sht-D-mjp-1.3.H","Melbourne","0"
"1-Sht-D-mjp-1","T0","5327.T0.1-Sht-D-mjp-1.3.H","1-Sht-D-mjp-1.3.H","Melbourne","0"
"1-Sht-D-mjp-1","T0","5385.T0.1-Sht-D-mjp-1.4.R","1-Sht-D-mjp-1.4.R","Shepparton","1"
"1-Sht-D-mjp-1","T0","5386.T0.1-Sht-D-mjp-1.5.R","1-Sht-D-mjp-1.5.R","Shepparton","1"
"1-Sht-D-mjp-1","T0","5387.T0.1-Sht-D-mjp-1.6.R","1-Sht-D-mjp-1.6.R","Shepparton","1"
"1-V01-D-mjp-1","T0","5302.T0.1-V01-D-mjp-1.1.H","1-V01-D-mjp-1.1.H","Melbourne","0"
"1-V01-D-mjp-1","T0","5303.T0.1-V01-D-mjp-1.1.H","1-V01-D-mjp-1.1.H","Melbourne","0"
"1-V01-D-mjp-1","T0","5304.T0.1-V01-D-mjp-1.1.H","1-V01-D-mjp-1.1.H","Melbourne","0"
"1-V01-D-mjp-1","T0","5787.T0.1-V01-D-mjp-1.2.R","1-V01-D-mjp-1.2.R","Albury","1"
"1-V01-D-mjp-1","T0","5788.T0.1-V01-D-mjp-1.2.R","1-V01-D-mjp-1.2.R","Albury","1"
"1-V01-D-mjp-1","T0","5789.T0.1-V01-D-mjp-1.2.R","1-V01-D-mjp-1.2.R","Albury","1"
"1-V04-D-mjp-1","T0","5311.T0.1-V04-D-mjp-1.1.H","1-V04-D-mjp-1.1.H","Melbourne","0"
"1-V04-D-mjp-1","T0","5312.T0.1-V04-D-mjp-1.1.H","1-V04-D-mjp-1.1.H","Melbourne","0"
"1-V04-D-mjp-1","T0","5313.T0.1-V04-D-mjp-1.2.H","1-V04-D-mjp-1.2.H","Melbourne","0"
"1-V04-D-mjp-1","T0","5365.T0.1-V04-D-mjp-1.4.R","1-V04-D-mjp-1.4.R","Ararat","1"
"1-V04-D-mjp-1","T0","5366.T0.1-V04-D-mjp-1.4.R","1-V04-D-mjp-1.4.R","Ararat","1"
"1-V04-D-mjp-1","T0","5367.T0.1-V04-D-mjp-1.5.R","1-V04-D-mjp-1.5.R","Ararat","1"
"1-V05-D-mjp-1","T0","6018.T0.1-V05-D-mjp-1.1.H","1-V05-D-mjp-1.1.H","Ballarat","0"
"1-V05-D-mjp-1","T0","6019.T0.1-V05-D-mjp-1.2.H","1-V05-D-mjp-1.2.H","Ballarat","0"
"1-V05-D-mjp-1","T0","6020.T0.1-V05-D-mjp-1.3.H","1-V05-D-mjp-1.3.H","Ballarat","0"
"1-V05-D-mjp-1","T0","6021.T0.1-V05-D-mjp-1.4.H","1-V05-D-mjp-1.4.H","Ballarat","0"
"1-V05-D-mjp-1","T0","6041.T0.1-V05-D-mjp-1.4.H","1-V05-D-mjp-1.4.H","Ballarat","0"
"1-V05-D-mjp-1","T0","6043.T0.1-V05-D-mjp-1.4.H","1-V05-D-mjp-1.4.H","Ballarat","0"
"1-V05-D-mjp-1","T0","6045.T0.1-V05-D-mjp-1.4.H","1-V05-D-mjp-1.4.H","Ballarat","0"
